================================================================================
PL 0443  |  PGU-DE-0443_BOP Piping_Field Run(1차분)_CLPL(Rev.1).xlsx
================================================================================
  BOP-PIP-043                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-PIP-044                   PL:  3건/      9EA  v16:  3행/      9EA
  BOP-PIP-045                   PL:  1건/      9EA  v16:  1행/      9EA
  BOP-PIP-046                   PL:  1건/      9EA  v16:  1행/      9EA
  BOP-PIP-047                   PL:  2건/      9EA  v16:  2행/      9EA
  BOP-PIP-048                   PL:  2건/      9EA  v16:  2행/      9EA
  BOP-PIP-049                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-PIP-050                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-PIP-051                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-PIP-052                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-PIP-053                   PL:  1건/      4EA  v16:  1행/      4EA
  BOP-PIP-054                   PL:  1건/      4EA  v16:  1행/      4EA
  BOP-PIP-055                   PL:  2건/      4EA  v16:  2행/      4EA
  BOP-PIP-056                   PL:  2건/      4EA  v16:  2행/      4EA
  BOP-PIP-057                   PL:  1건/      2EA  v16:  1행/      2EA
  BOP-PIP-058                   PL:  3건/      6EA  v16:  3행/      6EA
  BOP-PIP-059                   PL:  2건/      9EA  v16:  2행/      9EA
  BOP-PIP-060                   PL:  1건/      4EA  v16:  1행/      4EA
  BOP-PIP-061                   PL:  3건/      4EA  v16:  3행/      4EA
  BOP-PIP-062                   PL:  1건/    270EA  v16:  1행/    270EA
  BOP-PIP-063                   PL: 10건/    284EA  v16: 10행/    284EA
  BOP-PIP-064                   PL: 20건/    556EA  v16: 20행/    556EA
  BOP-PIP-065                   PL:  2건/     82EA  v16:  2행/     82EA
  BOP-PIP-066                   PL:  2건/     82EA  v16:  2행/     82EA
  BOP-PIP-067                   PL:  2건/    112EA  v16:  2행/    112EA
  BOP-PIP-068                   PL:  3건/     92EA  v16:  3행/     92EA
  BOP-PIP-069                   PL:  4건/     60EA  v16:  4행/     60EA
  BOP-PIP-070                   PL:  5건/    262EA  v16:  5행/    262EA
  BOP-PIP-071                   PL:  7건/    189EA  v16:  7행/    189EA
